qId,subQuesId,label,code,variableId,order
qa1,,Female,1,,
qa1,,Male,2,,
qa1,,Non-Binary,3,,
qa1,,Prefer not to answer,4,,
hidage,,21 - 24,1,,
hidage,,25 - 40,2,,
hidage,,41 - 56,3,,
hidage,,57 and above,4,,
hidregion,,Midwest,1,,
hidregion,,Northeast,2,,
hidregion,,West,3,,
hidregion,,South,4,,
hidlegal,,Legal,1,,
hidlegal,,Active Bill / Not Yet Legal,2,,
hidlegal,,Not Legal,3,,
qe1,,Part-time employed,1,,
qe1,,Full-time employed,2,,
qe1,,Unemployed / Seeking employment,3,,
qe1,,Retired,4,,
qe1,,Student,5,,
qe1,,Caregiver,6,,
qe1,,Homemaker,7,,
qe1,,Other,8,,
qe1,,Prefer not to answer,9,,
qe2,,White / European American,1,,
qe2,,Black / African American,2,,
qe2,,American Indigenous or Alaska Native,3,,
qe2,,Native Hawaiian or Pacific Islander,4,,
qe2,,"South Asian (e.g., Indian, Pakistani, Sri Lankan)",5,,
qe2,,"East Asian (e.g., Korean, Vietnamese, Chinese, Cambodian, Thai)",6,,
qe2,,Middle Eastern,7,,
qe2,,Other,8,,
qe2,,Prefer not to answer,9,,
qe3,,Yes,1,,
qe3,,No,2,,
qe3,,Prefer not to answer,3,,
qe4,,"$25,000 or less",1,,
qe4,,"$25,001 to $50,000",2,,
qe4,,"$50,001 to $75,000",3,,
qe4,,"$75,001 to $100,000",4,,
qe4,,"$100,001 to $140,000",5,,
qe4,,"$140,001 to $200,000",6,,
qe4,,"$200,001 to $250,000",7,,
qe4,,"$250,001 or more",8,,
qe4,,Prefer not to answer,9,,
qe4,,Don't know,10,,
qe5,,Some high school,1,,
qe5,,High school degree or equivalent,2,,
qe5,,"Some college, no degree",3,,
qe5,,Trade / tech / vocational training,4,,
qe5,,Associate degree,5,,
qe5,,Bachelor's degree,6,,
qe5,,Master's degree,7,,
qe5,,Doctoral / Professional degree,8,,
qe5,,Prefer not to answer,9,,
qe5,,Other,10,,
qe6,,Single (never married),1,,
qe6,,Married,2,,
qe6,,Living with partner / significant other,3,,
qe6,,Divorced or separated,4,,
qe6,,Widowed,5,,
qe6,,Prefer not to answer,6,,
qe7,,Spanish all the time,1,,
