qId,subQuesId,label,code,variableId,order
D1,,Banking and financial services,1,,
D1,,Insurance,2,,
D1,,Energy,3,,
D1,,Utilities,4,,
D1,,Healthcare insurer,5,,
D1,,Healthcare provider,6,,
D1,,Life sciences,7,,
D1,,Retail,8,,
D1,,Consumer packaged goods,9,,
D1,,"Travel, including airlines and hospitality",10,,
D1,,Transportation and logistics,11,,
D1,,Technology,12,,
D1,,Telecom,13,,
D1,,Industrial manufacturing,14,,
D2,,$500M to $1B,2,,
D2,,Between $1B and $5B,3,,
D2,,Between $5B and $10B,4,,
D2,,Between $10B and $50B,5,,
D2,,Greater than $50B,6,,
D2a,,Yes,1,,
D2a,,No,2,,
D3,,North America,1,,
D3,,Europe (excluding the United Kingdom),2,,
D3,,Middle East and Africa,3,,
D3,,Asia Pacific (excluding India),4,,
D3,,Latin America,5,,
D3,,The United Kingdom,6,,
D3,,India,7,,
D3a,,United States,1,,
D3a,,Canada,2,,
D3a,,United Kingdom,3,,
D3a,,India,4,,
D3a,,Germany,5,,
D3a,,France,6,,
D3a,,Netherlands,7,,
D3a,,Sweden,8,,
D3a,,Denmark,9,,
D3a,,Norway,10,,
D3a,,Finland,11,,
D3a,,China,12,,
D3a,,Australia,13,,
D3a,,New Zealand,14,,
D3a,,Singapore,15,,
D3a,,Other,16,,
D4,,CEO,1,,
D4,,COO,2,,
D4,,CFO,3,,
D4,,CIO/CTO,4,,
D4,,Chief Data Officer,5,,
D4,,Chief Digital Officer,6,,
D4,,Chief Marketing Officer,7,,
D4,,"Other CXO role (Sales, Commercial, etc.)",8,,
D4,,President,9,,
D4,,Executive Vice President,10,,
D4,,Senior Vice President,11,,
D4,,Vice President,12,,
D4,,Director,13,,
D5,,"IT (including technology, IT infrastructure, digital, or data-related roles)",1,,
D5,,Finance,2,,
D5,,Procurement or sourcing,3,,
D5,,Supply chain,4,,
D5,,HR or talent management,5,,
D5,,Marketing,6,,
D5,,Sales,7,,
D5,,Customer experience,8,,
D5,,Strategy,9,,
D5,,Business services or shared services,10,,
D5,,"Legal, risk, or compliance",11,,
D5,,Operations or manufacturing,12,,
D5,,"Innovation, R&D, product development",13,,
